UMAP1,UMAP2,label
12.416953,4.4850917,intergenic
12.046241,4.3536406,intergenic
7.800479,3.1407483,intergenic
7.5978284,3.405436,intergenic
9.691028,4.1471,intergenic
10.195568,4.624844,intergenic
10.39198,4.154541,intergenic
12.683817,3.61426,intergenic
13.055341,3.5325143,intergenic
14.137192,1.1771173,intergenic
14.160766,0.9917351,intergenic
14.367337,0.769012,intergenic
14.262701,0.713875,intergenic
13.99985,0.45837763,intergenic
13.995551,0.47445762,intergenic
13.828024,0.5090677,intergenic
13.741151,0.41222417,intergenic
13.66031,0.3144506,intergenic
13.424979,0.3207291,intergenic
13.424485,0.27056417,intergenic
12.701959,-0.27881074,intergenic
10.517773,-0.73337173,intergenic
10.2528715,-0.59415543,intergenic
10.138297,-1.075994,intergenic
10.164429,-1.0802466,intergenic
10.145417,-1.1763586,intergenic
10.194476,-1.0665075,intergenic
10.05357,-1.1572276,intergenic
10.040267,-1.2160748,intergenic
9.515605,-1.6398994,intergenic
9.44978,-1.897077,intergenic
9.243831,-1.8814263,intergenic
9.381806,-1.7924724,intergenic
9.963537,-1.1065053,intergenic
10.004157,-1.2003919,intergenic
9.902914,-1.290065,intergenic
10.137204,-1.2221416,intergenic
10.167575,-1.1192955,intergenic
10.145652,-0.92697334,intergenic
10.166666,-0.57569534,intergenic
9.760255,0.81106937,intergenic
9.339448,2.3875523,intergenic
8.798324,3.5237703,intergenic
3.6608102,5.09899,intergenic
6.6093445,3.5373046,intergenic
5.181151,3.2704449,intergenic
3.9050286,3.259066,intergenic
4.5168366,1.943664,intergenic
3.500728,4.8858004,intergenic
4.447934,2.0040388,intergenic
5.454877,1.4961172,intergenic
5.6374907,1.6947663,intergenic
3.9895163,2.4005752,intergenic
4.186945,3.055041,intergenic
2.8589091,3.2487798,intergenic
0.5218237,4.4688864,intergenic
0.5116547,4.563699,intergenic
0.09176905,4.9160037,intergenic
0.2070733,5.4685082,intergenic
1.3324146,6.4142346,intergenic
2.5031557,6.0117507,intergenic
2.526596,5.93975,intergenic
2.9780173,3.4612556,intergenic
2.9796822,3.13398,intergenic
4.0552073,2.0517106,intergenic
1.8517208,2.5964649,intergenic
1.268399,2.6648092,intergenic
1.2787768,2.5649054,intergenic
1.6431252,2.7099128,intergenic
1.1397318,2.949299,intergenic
1.2095276,2.9145133,intergenic
1.2199312,2.8747945,intergenic
1.0905114,2.8447874,intergenic
0.5018593,2.828218,intergenic
0.4742088,2.817586,intergenic
0.9157199,2.891246,intergenic
1.4528393,2.9158506,intergenic
1.4443043,2.9367576,intergenic
1.2343321,2.9876904,intergenic
1.2342576,2.9426453,intergenic
1.2567536,2.5630617,intergenic
1.2300305,2.8831553,intergenic
1.167825,2.904303,intergenic
2.5780718,3.9392369,intergenic
2.8218691,3.9895675,intergenic
3.5237684,4.1226106,intergenic
12.448395,5.2393794,intergenic
12.46276,5.319117,intergenic
12.685409,5.3671074,intergenic
12.871245,5.4172416,intergenic
12.938874,5.465401,intergenic
12.944312,5.4574146,intergenic
13.046798,5.541409,intergenic
12.973703,5.4925423,intergenic
12.881824,5.3514395,intergenic
12.800844,5.275963,intergenic
12.614437,5.1890006,intergenic
5.2664747,3.6827798,intergenic
5.158245,3.734443,intergenic
3.1883733,3.6675992,intergenic
3.284456,3.6123812,intergenic
2.9875011,3.6550968,intergenic
2.560665,3.652782,intergenic
2.481272,3.6529315,intergenic
